"","X","Symbol","Score","Filters","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","Study_counts"
"91",3080,"ALDH5A1",19,"obermoser2.sd gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp gomez.rp gosch.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,2,2,9,2,1,1,7
"92",3165,"BTNL8",15,"meaburn1.vp meaburn2.vp obermoser2.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp dusek.rp rusch.rp larocca.rp",1,4,1,4,2,2,1,7
"93",3282,"ABCC5",12,"gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp dusek.vp larocca.vp meaburn1.rp obermoser1.rp dusek.rp rusch.rp",1,3,1,3,2,1,1,7
"94",3332,"IFIH1",16,"gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser4.rp dusek.rp",2,3,2,5,2,1,1,7
"95",3341,"SPTBN1",14,"gomez.vp gosch.vp meaburn1.vp meaburn2.vp dusek.vp rusch.vp larocca.vp meaburn1.rp meaburn2.rp obermoser2.rp obermoser3.rp dusek.rp rusch.rp larocca.rp",1,4,1,2,2,2,2,7
"96",3355,"STAT1",20,"meaburn1.sd meaburn2.sd gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser3.rp dusek.rp larocca.rp",2,6,2,5,2,1,2,7
"97",3371,"GNLY",19,"gomez.vp gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,2,8,2,1,1,7
"98",3427,"TRAK2",20,"gomez.sd gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",3,2,2,7,2,2,2,7
"99",3449,"RALGPS2",14,"gomez.vp gosch.vp meaburn1.vp obermoser1.vp obermoser4.vp dusek.vp larocca.vp gomez.rp meaburn1.rp meaburn2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,1,3,2,1,2,7
"100",3489,"FBXO6",13,"gomez.vp meaburn1.vp obermoser1.vp dusek.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser4.rp dusek.rp rusch.rp",2,3,1,3,2,1,1,7
"101",3490,"C1orf21",16,"meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,4,1,5,2,2,1,7
"102",3565,"CD160",16,"gomez.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp dusek.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,4,1,5,2,1,1,7
"103",3611,"MAN1C1",16,"meaburn1.vp meaburn2.vp obermoser1.vp obermoser3.vp dusek.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp",1,4,1,6,2,1,1,7
"104",3674,"FOXO3",23,"meaburn2.sd obermoser2.sd obermoser4.sd gomez.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,5,1,9,2,2,2,7
"105",3680,"SPP1",16,"gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp dusek.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,4,1,5,2,1,1,7
"106",3756,"FLVCR2",15,"meaburn1.sd gomez.vp gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp dusek.vp larocca.vp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp dusek.rp rusch.rp",1,4,2,4,2,1,1,7
"107",3774,"FKBP1B",12,"gomez.vp gosch.vp obermoser1.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn2.rp obermoser1.rp dusek.rp rusch.rp larocca.rp",2,1,2,2,2,2,1,7
"108",3794,"MXI1",17,"gomez.sd obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp larocca.vp gomez.rp gosch.rp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,1,1,8,2,1,2,7
"109",3881,"EPHX2",15,"obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp",1,2,1,7,2,1,1,7
"110",3904,"PLBD1",13,"meaburn2.sd gomez.vp gosch.vp obermoser2.vp obermoser4.vp dusek.vp larocca.vp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp rusch.rp",1,3,1,5,1,1,1,7
"111",3996,"NT5C3A",18,"meaburn2.sd gomez.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp",2,4,1,6,2,2,1,7
"112",4081,"TNFAIP6",17,"gomez.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser3.vp dusek.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,1,6,2,1,2,7
"113",4109,"PI3",17,"gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,2,1,7,2,2,1,7
"114",4176,"NQO2",21,"gomez.sd gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,4,2,8,2,2,1,7
"115",4190,"TREM1",16,"gomez.vp gosch.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp",2,2,1,6,2,2,1,7
"116",4257,"PPDPF",19,"gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,2,2,7,2,2,2,7
"117",4356,"CCR7",14,"meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp gomez.rp gosch.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,2,1,7,1,1,1,7
"118",4462,"HIP1",19,"gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,3,2,8,2,2,1,7
"119",4467,"STEAP4",17,"gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp dusek.vp rusch.vp larocca.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp rusch.rp larocca.rp",1,4,1,6,1,2,2,7
"120",4486,"VPREB3",15,"gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser4.vp larocca.vp gomez.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,1,1,7,1,1,2,7
"121",4576,"MTUS1",18,"gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp rusch.rp larocca.rp",1,3,2,7,1,2,2,7
"122",4764,"IDO1",17,"gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser3.vp dusek.vp rusch.vp larocca.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser3.rp dusek.rp rusch.rp larocca.rp",2,4,1,4,2,2,2,7
"123",4782,"NAPSB",19,"obermoser2.sd gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp",2,2,2,9,1,2,1,7
"124",4821,"CLUHP3",17,"meaburn2.sd gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser2.vp obermoser4.vp rusch.vp larocca.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp larocca.rp",2,5,1,5,1,1,2,7
"125",4837,"LGALS3",16,"gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser4.vp dusek.vp larocca.vp gomez.rp gosch.rp meaburn2.rp obermoser1.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,2,2,5,2,1,2,7
"126",4924,"FCRL2",18,"obermoser2.sd gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp larocca.vp gomez.rp gosch.rp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,1,2,9,2,1,2,7
"127",4937,"RBM38",14,"gomez.vp obermoser1.vp obermoser2.vp obermoser4.vp rusch.vp gomez.rp gosch.rp meaburn1.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,1,1,6,1,2,1,7
"128",5011,"MKRN1",19,"gomez.sd obermoser2.sd gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",3,1,2,7,2,2,2,7
"129",5021,"TMTC1",17,"meaburn1.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,3,1,7,2,2,1,7
"130",5028,"CA1",17,"gomez.vp gosch.vp meaburn2.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,2,5,2,2,1,7
"131",5070,"GSTM1",21,"meaburn1.sd meaburn2.sd gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,4,2,8,2,1,2,7
"132",5072,"REG4",10,"meaburn1.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp obermoser3.rp dusek.rp rusch.rp larocca.rp",1,1,1,2,2,2,1,7
"133",5075,"GSTM3",19,"meaburn1.sd gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser2.vp obermoser3.vp dusek.vp rusch.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,5,1,6,2,2,1,7
"134",5099,"RSAD2",16,"gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser2.vp obermoser4.vp dusek.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser3.rp obermoser4.rp rusch.rp larocca.rp",2,4,2,5,1,1,1,7
"135",5122,"KLRD1",18,"meaburn1.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,3,1,8,2,2,1,7
"136",5149,"TPGS2",19,"gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,4,2,7,2,2,1,7
"137",5205,"CD36",21,"obermoser2.sd gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp larocca.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,4,1,9,2,1,2,7
"138",5226,"PRRG4",18,"gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp rusch.rp larocca.rp",2,2,2,7,1,2,2,7
"139",5253,"AHI1",10,"gomez.vp gosch.vp obermoser1.vp dusek.vp gomez.rp gosch.rp meaburn1.rp obermoser1.rp rusch.rp larocca.rp",2,1,2,2,1,1,1,7
"140",5263,"RAB11FIP5",16,"gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp larocca.rp",1,3,2,7,1,1,1,7
"141",5291,"NPL",19,"rusch.sd gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp",1,3,1,8,2,3,1,7
"142",5432,"ST6GALNAC4",17,"gomez.vp gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp larocca.rp",2,1,2,8,2,1,1,7
"143",5440,"TLR4",18,"gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser3.vp dusek.vp rusch.vp larocca.vp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,4,1,6,2,2,2,7
"144",5452,"HEMGN",17,"gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,2,6,2,1,1,7
"145",5481,"CD72",16,"gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp gomez.rp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,1,1,8,2,1,1,7
"146",5505,"TUBB2A",20,"gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,3,2,8,2,2,2,7
"147",5523,"FGFBP2",18,"gomez.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,1,7,2,2,1,7
"148",5535,"SYTL2",17,"gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,4,1,7,2,1,1,7
"149",5565,"THBS1",19,"gomez.sd obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,2,1,8,2,2,2,7
"150",5665,"PARP9",19,"meaburn2.sd gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp",1,4,2,8,2,1,1,7
"151",5696,"NAAA",24,"meaburn2.sd obermoser2.sd obermoser4.sd rusch.sd gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp",2,5,1,10,2,3,1,7
"152",5711,"LEF1",16,"obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp",1,2,1,7,2,2,1,7
"153",5714,"PAPSS1",19,"obermoser4.sd gomez.vp gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp larocca.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp",2,3,1,9,2,1,1,7
"154",5745,"TAPBPL",18,"meaburn2.sd gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp",2,4,1,7,2,1,1,7
"155",5812,"RAB20",10,"gomez.vp gosch.vp obermoser1.vp dusek.vp rusch.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp larocca.rp",2,2,1,2,1,1,1,7
"156",5830,"SLC24A4",17,"meaburn1.sd gomez.vp gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp larocca.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp",2,4,1,6,2,1,1,7
"157",5831,"FBLN5",20,"gomez.sd gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",3,2,2,8,2,1,2,7
"158",5866,"TPM1",19,"meaburn2.sd gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp",1,3,2,8,2,2,1,7
"159",5876,"PCSK6",17,"gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp obermoser1.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,2,2,6,2,2,1,7
"160",5940,"RANBP10",19,"gomez.sd obermoser2.sd gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp rusch.rp larocca.rp",3,2,2,7,1,2,2,7
"161",5977,"SLC14A1",22,"gomez.sd gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",3,4,2,8,2,2,1,7
"162",6064,"NLRP12",21,"meaburn1.sd meaburn2.sd meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,6,1,8,2,2,1,7
"163",6144,"FCRL5",21,"rusch.sd larocca.sd gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser4.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,2,7,1,3,3,7
"164",6195,"S100A8",12,"gomez.vp gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp dusek.vp rusch.vp gomez.rp meaburn2.rp obermoser2.rp dusek.rp larocca.rp",2,2,1,3,2,1,1,7
"165",6225,"ITPKB",12,"meaburn2.sd gomez.vp gosch.vp meaburn2.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp larocca.vp meaburn1.rp meaburn2.rp dusek.rp",1,4,1,2,2,1,1,7
"166",6277,"AFF3",17,"gosch.vp meaburn2.vp obermoser1.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,3,2,6,2,2,1,7
"167",6312,"OSBPL10",17,"gomez.vp gosch.vp meaburn1.vp obermoser1.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,1,5,2,2,2,7
"168",6361,"SNCA",21,"obermoser2.sd gomez.vp gosch.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,2,8,2,2,2,7
"169",6364,"CISD2",17,"meaburn1.sd gomez.vp gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser4.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn1.rp obermoser1.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,3,2,5,2,2,1,7
"170",6373,"SFRP2",13,"gomez.vp gosch.vp meaburn2.vp obermoser1.vp dusek.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp dusek.rp rusch.rp larocca.rp",2,3,2,2,2,1,1,7
"171",6398,"PAM",25,"meaburn1.sd meaburn2.sd obermoser1.sd obermoser4.sd gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,6,2,10,2,1,2,7
"172",6436,"PLA2G7",15,"gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp dusek.vp gomez.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,1,1,7,2,1,1,7
"173",6444,"FGD2",22,"gomez.sd meaburn1.sd meaburn2.sd gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp",3,6,1,7,2,2,1,7
"174",6471,"GNA12",18,"gomez.sd obermoser2.sd gomez.vp obermoser1.vp obermoser2.vp obermoser3.vp dusek.vp rusch.vp gomez.rp gosch.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",3,1,1,8,2,2,1,7
"175",6477,"CREB5",20,"meaburn2.sd gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,5,1,8,2,2,1,7
"176",6482,"POMZP3",20,"meaburn2.sd gomez.vp gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp gomez.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,5,1,7,2,2,1,7
"177",6501,"NCAPG2",15,"gosch.vp meaburn1.vp obermoser1.vp obermoser2.vp obermoser3.vp dusek.vp rusch.vp gomez.rp meaburn1.rp obermoser1.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,2,1,6,2,2,1,7
"178",6545,"SLC25A37",20,"obermoser2.sd obermoser4.sd gomez.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",1,4,1,9,2,2,1,7
"179",6614,"LCN2",19,"gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp rusch.vp larocca.vp gomez.rp gosch.rp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp rusch.rp larocca.rp",2,1,2,8,2,2,2,7
